text,class
"Пьер поехал в Москву, прямо к своим запасам заставили армию отклониться еще южнее, на Тульскую дорогу.",generated
"- Уж это не дает значения неизвестного, но оно было страшно.",generated
"Напротив Пьер радостно, мокрыми от слез глазами, смотрел на эту светлую звезду, которая, как будто, с невыразимой быстротой пролетев неизмеримые пространства по параболической линии, вдруг, как вонзившаяся стрела в землю, влепилась тут в одно избранное ею место, на черном небе, и остановилась, энергично подняв кверху хвост, светясь и играя своим белым светом между бесчисленными другими, мерцающими звездами.",original
"Опять на всех веселых лицах людей эскадрона появилась та серьезная черта, которая была на них в то время, как они стояли под ядрами.",original
Но отчего же и у меня в жизни не будет того же?,original
"Пьер опять вспомнил раненых солдат в колпаке и халате с изуродованным бешенством лицом и глазами, с его улыбкой, мужской и вместе с пистолетом тупой зазубренный кинжал в зеленых ножнах и спрятал его под жилет.",generated
"Перехватив записку Наташи и прочтя ее, Марья Дмитриевна с запиской в руке взошла к Наташе.",original
"     Кутузов отступил к Вене, уничтожая за собой мосты на реках Инне (в Браунау) и Трауне (в Линце).",original
"Рядом с ним сидел Уваров и негромким голосом (как и все говорили) что-то, быстро делая жесты, сообщал Барклаю.",original
"- Сердце его сжалось, и кровь бросилась к лицу.",original
"По окончании заседания великий мастер с недоброжелательством и иронией сделал Безухому замечание о его раннем разочаровании в жизни, о том, как они будут итти, чтоб обойти меня справа, они выставят мне фланг!",generated
"Но с отвращением к самой себе и Пьеру показалось, что были перезаложены все имения, и потому прежде, чем она плакала; но несколько дней стояла тихая, ясная, с легкими заморозками по утрам - так бунт, вот это так!",generated
"Вилларский был женат на богатой русской, имевшей большие имения в Орловской губернии, и занимал в городе временное место по продовольственной части.",original
У Дохтурова под командою высокопоставленных лиц и событий неизменное мерило хорошего и дурного.,generated
"- Увидимся ли, нет... - и он засмеялся сам над собою.",generated
"Благообразный, тихий старичок служил с той сделавшейся ему привычной, презрительной улыбкой, но теперь говорил так же подробно свои виды и великодушие перед Тутолминым, и перед самим собою, ежели бы",generated
"Княжна Марья и старый князь, каждый по-своему, носили и скрывали свое горе.",original
"- Nicolas, я видела... он виноват, но не смеют нападать, прибавил он тихим, чуть слышным голосом.",generated
А что ж я-то?,generated
"– Mais, ma bonne amie, – сказал князь Андрей, – vous devriez au contraire m'etre reconaissante de ce que j'explique a Pierre votre intimite avec ce jeune homme… [  Но, мой друг, ты должна бы быть мне благодарна, что я объясняю Пьеру твою близость к этому молодому человеку.]",original
"- Несмотря на неясность слов солдата, Пьер понял все то, что он хотел сказать, и одобрительно кивнул головой.",original
Итти до Илагинского угоря надо было полями.,original
"Смотрите же, приезжайте обедать.",original
"- сказала Наташа, смутно вспоминая, что тогда уже обратился к князю Багратиону, которое, по совету m-lle Bourienne, и уродливую прическу княжны Марьи, так что в кавалерии и артиллерии становились и что радостно покоряться ей, сдерживать себя для того, чтобы навсегда этот солдат третьего дня сжег, высушивая на костре, свою рубаху над огнем, и, не замечая Аракчеева, через выходную дверь в соседней комнате зашевелилось, и прибежавший лакей, с испуганным лицом, доложил: пожаловали!",generated
"Иногда он утешал себя мыслями, что это был слишком эгоистический предмет разговора.",generated
"Таковых, как я – в России тысячи».",original
"Он, чуткий, нежный князь Андрей, подавая конверт.",generated
"В сущности же, причин пожара Москвы в саратовскую деревню, с смутным сознанием того, что было перед ним, и с поля, марш-марш выскакал вперед солдат, где было опасно.",generated
"Когда определилось направление бегства французской армии по Смоленской дороге, тогда то, что предвидел Коновницын в ночь 11-го октября, начало сбываться.",original
"Их король был безумный; они переменили его и Пьера, находился в хорошем расположении духа после дообеденного сна.",generated
"В начале зимы, князь Николай Андреич слушал, как верховный судья слушает доклад, который делают ему, только изредка заезжавшие под огонь пуль, не спрашиваясь даже Нея, Даву и Мюрата, не только одна, сахару было больше нечего.",generated
"""Sur ce je prie Dieu, mon ami, de vous avoir sous sa sainte et puissante garde.",original
"Наташа, видимо, старалась только никому не быть в тягость и никому не мешать, но для себя ей ничего не нужно было.",original
"- повторял он, слушая восторженный рассказ Пети.",original
"Кроме этого утонченного выбора общества, вечера Анны Павловны, в которой он атаковал в Смоленске?",generated
"Алпатыч вышел к князю Андрею надо было наказывать, он бывал в гостиных.",generated
"В этом она убедилась в последнее время его посещения, впечатление это было нужно для успеха на службе, были нужны имя, знатность, связи Анатоля Курагина для приманки в свое раскрытое сердце, угадывая тайный смысл его слов, который бы не было насморка, то распоряжения его до тех пор двадцать три человека пленных солдат, три офицера и денщика и кивая им головой.",generated
"- думал он о чем-то главного управляющего, ехать в армию, зачем?",generated
"Написав и передав листок Алпатычу, он на словах передал ему, как распорядиться отъездом князя, княжны и сына с учителем и как и куда ответить ему тотчас же.",original
"- Нет, mon pere.",original
Только признание в нем нет места сомнению.,generated
"- Знаешь, mon cher, что у него прощения за то, чтобы удержаться только от блестящей, от выгодной партии; но он никогда их еще не рассказывал никому, как он не знает, - кто лучше вел себя в этот вечер Марья Дмитриевна под секретом сказала ему, она в прошлое лето, ходя за грибами, заблудилась в большом лесу.",generated
"- Дай бог, дай бог, - говорила она про меня.",generated
"Берг, зять Ростовых, был уже в другом, молодом, красавица-княжна Элен, дочь князя Василия, с Мортемаром, которого он не исполнит своего намерения.",generated
"Он поправился на седле и тронул лошадь, чтобы еще раз объехать своих гусар.",original
"- спросил он, видимо, ожидая ответа.",original
"Князь Андрей опять пошел к жене, и в соседней комнате сел дожидаясь.",original
"Оболенский Федя моложе меня и тоже идет, а главное, все равно я не могу ничему учиться теперь, когда... - Петя остановился, покраснел до поту и проговорил-таки: - когда отечество в опасности.",original
"Товарищ Ростова, разговорившись о женщинах, стал смеяться Ростову, говоря, что он всех хитрее, и что ему бы не грех познакомить товарищей с спасенной им хорошенькой полькой.",original
Что мне зa дело?,original
- Государь!,original
все ли равно их и пустил своих.,generated
"– Вы будете отвечать, ротмистр, это буйство, – у своих и не отставать ни в чем не останавливаясь, прошел в залу.",generated
"Это удовольствие доставил себе Даву, когда к нему ввели Балашева.",original
"Услыхав, что он собирается в Петербург, Наташа изумилась.",original
"Хотя, действительно, Пьер был несколько больше других мужчин в комнате, но этот страх мог относиться только к тому умному и вместе робкому, наблюдательному и естественному взгляду, отличавшему его от всех в этой гостиной.",original
"Еще менее Пьер думал о всех барышнях, встречавшихся ему в голову: «Какое дело мне и сказала, что ей казалось, лицо.",generated
"Или я убью его, или он попадет мне в голову, в локоть, в коленку.",original
"Когда же это совершилось, и что такое совершилось?",original
"Письмо Николушки было прочитано сотни раз, и те, которые имели дело с князем Андреем; он казался человеком из чуждого мира, который еще ни в чем ничего нет удивительного.",generated
"– Ах да, - сказал он.",generated
- недовольно спросил Пьер.,original
"Лицо князя было так странно, так странно!",generated
"Все древние историки употребляли один и в ближайших войсках распространилось известие, что его не сообщалось, как прежде, ловко с Соней и Долоховым, и в котором он выехал за уступ леса, как он говорил небрежное и приятное слово, исключая Пьера и поцеловал его.",generated
– Что с тобой?,original
"Бега, английский клуб, кутеж с Денисовым, поездка туда – это было другое дело: это было прилично молодцу-гусару.",original
"В первую ночь адъютант этот ночевал на приготовленной ему тут же тысяча пятьсот человек пленных, тридцать восемь орудий, знамена и, что бы было, если бы вы не думайте... я очень далек от пониманья, как это она делала, не вызываемая чем-нибудь внешним, не так, как они свидятся.",generated
"И он один, в противность воле государя, остановил большую часть войск.",generated
"Чаще и болезненнее всего вспоминала она осенние месяцы, охоту, дядюшку и что он уже стал заботиться о том, что Соню не будут знать, для какой цели он откармливался, то, по крайней мере, они будут итти, чтоб обойти меня справа, они выставят мне фланг!",generated
"Что бы было, если бы французы атаковали русских, когда они шли за Пахрой?",original
"Старик чувствует, что виноват, но не может изменить себя.",original
- Так я жил для себя почти вскрикнул Наполеон.,generated
"Приехал князь Ипполит, сын князя Василья, что был только более трагический характер замерзающих и изжаривающихся насмерть у костров - солдатских кухонь.",generated
"Михаил Иванович, m-lle Bourienne, делавшую его несчастие, но и то же.",generated
"Рана его, несмотря на всю силу поднявшегося чувства в рядах Долохова и Николая Ростова.",generated
"Но вот что вы трус, да не превозможет противу тебе человек.",generated
"Пьер постоял, посмотрел на свою руководительницу Анну Михайловну.",generated
"Ответы, даваемые этого рода историками на вопрос о той силе, которая движет событиями, удовлетворительны, но только до тех пор, пока существует один историк по каждому событию.",original
Он молча прошел от одного угла комнаты до другого и опять остановился против Балашева.,original
"- С 2-го сентября в ночь накануне сражения, фигура маленького, ничтожного Наполеона и дочери австрийского императора, которого почему-то все называли королем Рима.",generated
Они сидели в гостиной у окна.,original
Ce que j'ai recu ca.,generated
"     - С'est trahison peut-etre, [  Быть может, измена,]  - сказал князь Андрей, живо воображая себе серые шинели, раны, пороховой дым, звуки пальбы и славу, которая ожидает его.",original
"Это я сожгла, чтобы доказать и свою повозку.",generated
"- И что обещали, и того же настроения.",generated
"– Мне из хороших источников известно, что вы приняли от него и улыбнулась ей.",generated
"Войска Даву, к которым он принимал и долго после того, как бы не было.",generated
"На поле между Бородиным и флешами, у леса, на открытом и видном с обеих сторон протяжении, произошло главное действие сражения, самым простым, бесхитростным образом.",original
"Сохрани воинство его; положи лук медян мышцам, во имя твое ополчившихся, и препояши их силою на брань.",original
"Нельзя было не отступить на один переход, потом точно так же нельзя было не отступить на другой и на третий переход, и наконец 1-го сентября, - когда армия подошла к Москве, - несмотря на всю силу поднявшегося чувства в рядах войск, сила вещей требовала того, чтобы войска эти шли за Москву.",original
"Он вспоминал то выражение, которое принимало лицо Долохова, когда на него находили минуты жестокости, как те, в которые он связывал квартального с медведем и пускал его на воду, или когда он вызывал без всякой причины на дуэль человека, или убивал из пистолета лошадь ямщика.",original
"– Так, так, – закричал граф, и весело схватив сына за обе руки, закричал: – Так вот же что, попался ты мне!",original
"- Ну, графинюшка!",original
"Как будто князь Андрей и желал бы, но не мог принимать участия в том, что он говорил.",original
"Поутру, заехав к графу Растопчину, Пьер у него застал только что приехавшего курьера из армии.",original
"– Я не кавалерист, полковник, но я тысячу раз прав этот дуб, – «и как не мог бежать дальше.",generated
"Диспозиция, составленная Толем, была очень хорошая.",original
"Но между тем, чтобы не было у него сыру и булку, - сказал Кутузов к полному красивому черноволосому генералу, который с угрюмо-усталым видом, не заложенной за пазуху рукой указывая на него ласковой и немного Наташа.",generated
"И между ним и ею не было уже никаких преград, кроме преград его собственной воли.",original
"По улицам никого почти не говорили про войну про эту, - сказал l'homme de beaucoup de merite, несмотря на отсутствие моей супруги.",generated
"И для чего, нашла нужным объявить Наташе о том, как князь Багратион в карете сидит.",generated
Только что он оглянулся на такие глупости нельзя отвечать; но действительно на этот редут.,generated
- начал Пьер; но в это новое положение.,generated
На лице губернатора изобразился ужас.,original
"Скажите ради бога, - вскрикнул он.",generated
     - Что простить?,original
"Если не есть, то почему Наполеон I есть представитель?",original
"Скачи ты, Митинька, в подмосковную, – обратился он к вошедшему на его зов управляющему, – скачи ты в подмосковную и вели ты сейчас нарядить барщину Максимке-садовнику.",original
- сказал Николай.,original
"– Постою, Федор Иванович.",original
"А кажется, и придумано это им потому, что ему не хочется подчиняться ненавистному и младшему чином немцу Барклаю.",original
"– Она кивнула головой знакомой модистке, почтительно присевшей ей, и княжне Марье, что он знал, что ежели письмо к Мюрату:",generated
стал ходить по комнате.,original
Когда они приехали в Москву.,generated
"Пьер вопросительно смотрел на приближавшихся французов, и, встречаясь глазами с красивым молодым адъютантом.",generated
"В залу выбежала горничная девушка, и торопливо прилизанные височки особенно красноречиво подтверждали это.",generated
"Она была такая же, какою знал ее Пьер назад тому три месяца, когда граф отпускал его в Петербург.",original
"Багратион закричал ему с горы, чтобы он не ездил дальше ручья, но Ростов сделал вид, как будто не слыхал его слов, и, не останавливаясь, ехал дальше и дальше, беспрестанно обманываясь, принимая кусты за деревья и рытвины за людей и беспрестанно объясняя свои обманы.",original
"– А, это вы, mon cousin?",generated
– Вы сделали это наблюденье!,original
"– Но ведь ты не отказала Болконскому, – сказала она.",original
"- Господа, это глупости; он убьется до смерти, - сказал этот более благоразумный человек.",original
Пьер отдал догнавшую его коляску знакомому раненому генералу и с ним вместе поехал до Москвы.,original
"- О, господи помилуй, - прибавил он,сияя улыбкой и указывая на поломанные сургучи и перья.",generated
"Наташа, облокотившись на палку, стоял перед нею одною было более сомнений и молитв, княжна Марья уехала в деревню.",generated
"да как увидишь его, и страх прошел, как бы только не ушел!",original
"Он помнил, что он бил кого-то, его били и что под конец он почувствовал, что руки его связаны, что толпа французских солдат стоит вокруг него и обыскивает его платье.",original
"– Может быть, касательно положения?",generated
"Уланы тронулись, колеблясь флюгерами пик, и на дворе и на армянское семейство и двух французских солдат, офицеров, генералов и доказывать то, в чем раскаиваться, что князь Андрей принял известие.",generated
"Они забывали, что испуганное лицо и фигуру нельзя было изменить, и потому, как они ни видоизменяли раму и украшение этого лица, само лицо оставалось жалко и некрасиво.",original
"Он отдал лошадей солдату, мешавшему в котелке, и на корточках присел у костра рядом с офицером с длинной шеей.",original
Наташа смотрела на них в доме.,generated
"И, несмотря на то, его отношения к ней - осторожные, нежные и любовные - не только не изменились, но он, казалось, радовался тому, что теперь родство между ним и княжной Марьей позволяло ему свободнее выражать ей свою дружбу-любовь, как иногда думала княжна Марья.",original
"Телянин взял кошелек и стал опускать его в карман рейтуз, и брови его небрежно поднялись, а рот слегка раскрылся, как будто он говорил: ""да, да, кладу в карман свой кошелек, и это очень просто, и никому до этого дела нет"".",original
"До свидания, князь Репнин, - и восторженный стон детских голосов поднялся в комнате.",generated
Новый кавалер опять пригласил ее.,original
"Меньшой мальчик, лет семи, в чуйке и в чужом огромном картузе, плакал на руках старухи-няньки.",original
VII,original
"Они только могут не видеть, - проговорил князь, видимо, думая о кампании 1807-го года, бывшей, как казалось, так недавно.",original
"- Вы знаете, как вы могли уговорить его поехать за границу!",generated
"Но княжна, не договорив, заплакала.",original
"Каждому солдату приятно становилось на душе оттого, что Соня с Николенькой теперь встретились на вы и в чистом белье лег на диван.",generated
"Число это было им выбрано потому, что сорок три составляло сумму сложенных его годов с годами Сони.",original
"Возьми от меня ключи, уволь ради Христа.",original
- Ред.,original
– спросила она себя.,generated
прости ради Христа.,original
"«Ведь я не соглашусь с вами, да и умереть, Бог даст, всё и так…",generated
"«Что ж я такой же, как и другие, выказала Пьеру перемену, происшедшую в общественном взгляде на нее странными глазами, которых выражения так боялась графиня, Наташа сидела с Беловой за гранпасьянсом, когда Пьер занимался - читал или писал в своем корсаже от быстрого бега, с своими добычами и рассказами, и все зависит от времени и зависимости от события.",generated
"Кто дошел до этого так, как я, теми же страданиями...",original
"Один раз он должен был делать в Лысых Горах чрезвычайно ласков, и велел с фонарями ехать вперед охотникам.",generated
"Полк рявкнул: ""Здравья желаем, ваше го-го-го-го-ство!""",original
- Отчего вы не говорите?,original
"Наташа, видимо, старалась только никому не позволял этого.",generated
"Через месяц после известия о смерти Пети, заставшего ее свежей и бодрой пятидесятилетней женщиной, она вышла из своей комнаты полумертвой и не принимающею участия в жизни - старухой.",original
"Ядро ударило в самый пыл сражения, теперь убежал из своего неловкого положения перейти в шутливый тон.",generated
"Он молчал всё время похода шел и стоял у караулки, отдавая последние приказания.",generated
A bon entendeur salut!,original
"Ужин кончался, и Пьер, стараясь не быть услышанной, и всё время есть.",generated
"Действительно это была служба, и он четвероугольный.",generated
"Она с недоуменьем уставила на него глаза, улыбаясь, как будто не узнавая его.",original
Вперед его во всю свою жизнь.,generated
"Я это очень хорошо знаю, потому что мне сам князь Василий это говорил.",original
– Как вы думаете?,generated
"Князь Андрей не помнил ничего дальше: он потерял сознание от страшной боли, которую причинили ему укладывание на носилки, толчки во время движения и сондирование раны на перевязочном пункте.",original
"Обеды его, постный и скоромный, были великолепны, но совершенно спокоен он всё-таки не мог быть до конца обеда.",original
"- сказала мать, притворно сердито отталкивая дочь.",original
"Государь хочет дать право всем начальникам дивизии расстреливать мародеров, но я очень боюсь, чтобы это не заставило одну половину войска расстрелять другую.]",original
"Он один сказал, что его счастие зависело от этой пехоты и узкие полосы артиллерии с зелеными ящиками.",generated
"Наполеон Бонапарт был презираем всеми до тех пределов, что многие, не стесняясь ее присутствием, подходили к ней, вспомнились княжне Марье; вспомнилось и то, что рассветало, не видно было, как заревели с заливом голоса гончих, с тем красноречием и невоздержанием раздраженности, к которому ому подавали чай.",generated
Он сказал несколько слов.,generated
"Чтобы понять степень истощения русской армии, сказал бы, что главное основание его твердой, нежной и гордой любви к отечеству.",generated
"[(сноска 84)] - Кстати, скажите, пожалуйста, правда ли, что все женщины уехали из Москвы?",original
"Вы знаете, как Верушка этого желала и как мы спорили об этом.",original
"Смех офицеров еще больше нахмурился и отвернул лицо, Пьеру показалось сострадание и желание всё полнее высказать.",generated
Он чувствовал на себе всю ответственность имеющего совершиться.,generated
"И ежели почему-нибудь они забыты, то ты должна знать, где они, и найти их, потому что...",original
"Она с ним говорит, а он отвернулся, – сказала она, указывая на него.",original
"Он более десяти секунд стоял, не двигаясь с места и не понимая своего положения.",original
– И как вспомнил всех!,generated
Лошадь Пьера отставала от адъютанта и военного министра.,generated
"Она чувствовала, что это не он.",generated
"И Аустерлиц с высоким небом, и мертвое, укоризненное лицо жены, и действительно это было так названо, но что он успел прежде обдумать в деревне.",generated
"Путаница, горе maman... дела... путаница, страшная путаница!",original
"Долохов убил, т. е. найдет лежачего зайца.",generated
"Там всё как будто поляк был, всё русской короны; а нынче, брат, сплошной немец пошел.",original
"Вместо того чтобы, определив в самих себе понятия о свободе и необходимости постепенно уменьшается и увеличивается, смотря по различной точке зрения, с которой он родился и провел у них возьмут, заплатят, если они понадобятся на устройство пира.",generated
"Земля как будто не понимая ее, посмотрел на Пьера свое обычное возбуждающее действие пожаров.",generated
"Наташа догадывалась, что они говорили о старом князе и что-то придумывали, и ее беспокоило и оскорбляло это.",original
"Но казалось, некому было вязать его, кроме выражения вчерашнего радостного умиления при рассказе о том, что не пустят его, - заключала в себе сомнение.",generated
Прихожу к комиссионеру.,original
"Он радостно улыбался, слушая такие рассказы, вставляя слова и взгляды Анны Павловны, несознанное чувство виноватости этого стремления парализировало его решимость.",generated
"25-го утром Пьер выезжал из ворот, он увидал, было бледное, с трясущейся нижней челюстью лицо француза, державшегося за древко направленной на другое.",generated
"На прежнем месте ни чиновника, ни его жены с Долоховым проехали часового, который, ни слова не сказав, вышел.",generated
"- Эх, барин, не спите?",generated
"Солдат сам непосредственно колет, режет, жжет, грабит и всегда имеет особенную и свою силу, и чтобы туда были высланы его верховые лошади.",generated
"как он искал постоянно, цели жизни, теперь для него мысли забава... - Да, в этой молитве.",generated
"Я понимаю, ведь он пропадал куда-то?",generated
"Но, несмотря на то, что Наташа для себя выгод и удовольствий.",generated
"За несколько дней до Бородинского сражения Николай получил деньги, бумаги и, послав вперед гусар, на почтовых поехал в Воронеж.",original
"Ольга, поди посмотри, готов ли бульон для дяденьки, скоро время, - прибавила она, обращаясь к Багратиону, Ростов опять пустил свою лошадь в ворота навстречу ехавшему к нему чувство ненависти, которое я имел счастье быть принят, что не то, в этот последний шаг.",generated
"И хочешь, я тебе скажу, что, что бы там ни было, что бы ни путали там вверху, мы выиграем сражение завтра.",original
"А я понимаю, ты именно дорожишь тем, чтобы ouvrir un carriиre, 9 - сказала она, повторяя слова, раз сказанные Пьером.",original
"На третий день после донесения Кутузова в Петербург приехал помещик из Москвы, и по всему городу распространилось известие о сдаче Москвы французам.",original
"И пити-пити-пити и ти-ти, и пити-пити - бум, ударилась муха... И внимание его было грустно и значительно сказал старый граф.",generated
В соседней комнате сидели граф и его обнять.,generated
"В Петербурге Элен пользовалась особым покровительством вельможи, занимавшего одну из самых богатых невест в России, то самому быть Наполеоном, то философом, то тактиком, победителем Наполеона?",generated
Но волк пошел кустами и ни один охотник не перехватил его.,original
"Пожилая дама носила имя княгини Друбецкой, одной из самых глупых женщин в салопах и шубках - так это благородно, и дьякон тоже.",generated
"Виконту, который видел его в первый раз, стало ясно, что этот якобинец совсем не так страшен, как его слова.",original
"Кроме того, для того чтобы рассказать всё, как было, надо было сделать усилие над собой, чтобы рассказать только то, что было.",original
"Пьер ничего не говорили, и наклонив голову, прислушался и молча остановилась.",generated
"В письмах родных было вложено еще рекомендательное письмо к Наполеону, приказал ему приготовить двенадцать лошадей под кареты княжны, а сам вышел.",generated
Теперь дипломатическая дорога тебе открыта.,original
"– И Наташа допела мотив хора, чтобы дать его понять Соне.",original
"Денисов был не в духе: и от дождя и от голода (с утра никто ничего не ел), и главное оттого, что от Долохова до сих пор не было известий и посланный взять языка не возвращался.",original
Она ничего не понимал.,generated
"9-го августа князь Багратион к Ростову, – надо пойти встретить его: он не исчез.",generated
"Они выехали на большую дорогу, к повороту на проселок, были высланы его верховые лошади.",generated
"- Что вы молчите, когда здесь Бог знает кто позволяет себе вмешиваться и делать сцены на пороге комнаты умирающего.",original
"Всё тот же я, это не то, что это было отдано Алпатычу с приказанием атаковать французов.",generated
"В письме этом, между прочим, графиня писала о том, что князь Андрей в числе раненых ехал вместе с ними.",original
"Для счастия обоих я не знаю, я так далек от пониманья, как это невольно делается при входе князя Андрея, - что мы в опасности, что мы сами незаметно движемся.",generated
"– Так до завтра, в день сражения.",generated
"- Кажется, что я буду делать?",generated
"Духовенство возобновило службу во многих не было ласково-приторных, заманивающих голосов гостинодворцев, не было готово и не говорил о женихе, но сказал только, что дальние диверсии всегда трудно исполнимы.",generated
"Чтобы скорее свалить с плеч эту обузу, на третий день выхода из Москвы, присоединился к армии приехал великий князь Константин Павлович, делавший начало кампании и удаленный из армии Кутузовым.",generated
"- Он очень, очень хороший, честный и очень аккуратный немец...",generated
Он перекрестился на передний угол и вбежал на крыльцо.,generated
Вот дружба-то?,original
"Княжна, в то время как входил Николушка, и почти родственные отношения ко всему вида.",generated
